objectid,element,iiifthumburl
5,painted surface,"https://api.nga.gov/iiif/e64daf38-38e8-4d0c-acb2-8ff370cc188c/full/!200,200/0/default.jpg"
6,painted surface,"https://api.nga.gov/iiif/e879ab8f-0a66-4d84-8f7c-bafd62d662ee/full/!200,200/0/default.jpg"
7,painted surface,"https://api.nga.gov/iiif/a0458b44-8db7-4694-8a03-349003ec91a7/full/!200,200/0/default.jpg"
8,painted surface,"https://api.nga.gov/iiif/ace92898-3191-42e2-b849-1be58081903f/full/!200,200/0/default.jpg"
11,painted surface,"https://api.nga.gov/iiif/f25a6288-be3b-4d0f-8294-ce88b012e6b8/full/!200,200/0/default.jpg"
24,painted surface,"https://api.nga.gov/iiif/0fd27212-b70a-4a0b-9e7c-ed0d8bbe7ebf/full/!200,200/0/default.jpg"
32,painted surface,"https://api.nga.gov/iiif/23f1a338-a614-4017-8381-23a7d6eff496/full/!200,200/0/default.jpg"
37,painted surface,"https://api.nga.gov/iiif/ce218ff9-837d-41f9-80dd-d9578995013c/full/!200,200/0/default.jpg"
39,painted surface,"https://api.nga.gov/iiif/8c0c3a8f-aa9f-43d4-8f60-ac44d48add75/full/!200,200/0/default.jpg"
47,painted surface,"https://api.nga.gov/iiif/23e1898b-a329-460e-a791-c69663f7539d/full/!200,200/0/default.jpg"
48,painted surface,"https://api.nga.gov/iiif/c4823e40-c213-4d32-a42b-56bd2330a6c5/full/!200,200/0/default.jpg"
50,painted surface,"https://api.nga.gov/iiif/a4fca2ec-d54a-4508-9347-856d4bce46c3/full/!200,200/0/default.jpg"
51,painted surface,"https://api.nga.gov/iiif/513e34ae-b923-4aed-a85d-453d1a3b4fa3/full/!200,200/0/default.jpg"
323,painted surface,"https://api.nga.gov/iiif/cf1d1ebf-4149-4d9b-ab3c-bcbcc604893b/full/!200,200/0/default.jpg"
370,painted surface,"https://api.nga.gov/iiif/17b4aa42-79e9-4356-8231-9299f1c3a279/full/!200,200/0/default.jpg"
411,painted surface,"https://api.nga.gov/iiif/0d611df5-8ef3-4153-8df7-c6eb6a86bc38/full/!200,200/0/default.jpg"
